human	alligator	turtle	ostrich	tinamou	chicken	duck	turkey	mesite	sandgrouse	pigeon	grebe	flamingo	swift	hummingbird	nightjar	cuckoo	bustard	turaco	plover	crane	hoatzin	pelican	egret	ibis	cormorant	fulmar	adelie_penquin	emperor_penquin	loon	sunbittern	tropicbird	ground_finch	zebrafinch	crow	manakin	rifleman	kea	budgerigar	falcon	seriema	bald_eagle	white_tailed_eagle	vulture	owl	mousebird	cuckoo_roller	trogon	hornbill	bee_eater	woodpecker	family
0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-99
0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-100
2	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	1	2	mir-101
3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	mir-103
0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-106
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-107
1	5	0	0	0	2	0	2	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	2	1	1	1	1	0	0	1	0	0	1	1	1	1	0	mir-122
3	2	4	2	2	3	1	1	1	1	3	0	0	1	3	3	2	1	2	2	0	1	0	3	5	0	1	2	1	1	1	1	3	3	2	2	1	1	1	3	1	4	1	1	1	1	3	1	1	0	2	mir-124
0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-125
1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	mir-126
2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	mir-128
2	4	2	0	2	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	2	1	1	1	1	2	2	0	3	0	0	0	1	0	1	2	0	1	mir-129
1	4	4	2	4	3	3	3	2	4	2	2	2	2	3	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	3	2	3	2	2	2	2	2	2	2	2	2	mir-130
3	3	4	2	2	3	2	2	3	2	3	3	2	3	3	2	3	3	3	3	2	2	2	4	3	2	2	3	3	2	3	2	3	2	3	4	3	2	2	3	2	3	2	3	2	3	3	3	3	3	3	mir-133
3	3	3	1	1	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	mir-135
1	3	3	1	1	1	1	0	1	2	2	1	1	2	2	3	1	1	1	1	1	1	2	0	1	1	2	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	mir-137
3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	mir-138
1	1	1	0	1	0	0	1	1	1	1	0	0	2	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	1	mir-139
1	1	1	0	1	1	1	1	1	0	1	1	0	2	1	1	1	0	0	1	1	1	0	2	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	mir-140
1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	mir-142
1	4	5	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	0	2	1	1	2	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-143
1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	mir-144
1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	mir-145
2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	mir-146
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-147
3	4	8	2	2	2	2	1	1	2	3	1	2	1	3	2	2	1	2	1	1	1	1	1	3	2	1	1	1	1	1	1	2	2	3	2	1	2	2	3	2	3	1	1	1	2	2	1	3	2	1	mir-148
1	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	mir-150
0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	mir-152
2	2	53	1	2	1	1	1	2	3	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	3	1	1	2	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	mir-153
1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	2	1	0	mir-155
0	12	55	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	mir-172
3	6	5	5	4	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	4	5	3	3	3	4	3	3	3	4	3	3	3	4	3	3	5	4	4	3	3	3	3	3	3	3	3	3	mir-181
1	1	1	0	0	1	0	1	1	0	1	0	0	0	2	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	mir-182
1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	mir-183
1	2	1	1	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-184
1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	mir-185
10	24	147	7	4	6	4	4	5	3	3	3	5	2	5	5	5	5	6	4	4	5	4	5	9	4	6	6	6	6	3	5	5	4	4	5	6	4	3	6	6	9	8	8	4	4	5	4	5	5	4	mir-186
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-187
2	3	3	1	1	2	2	1	1	1	1	1	1	2	2	2	3	2	2	2	2	2	1	3	2	2	3	3	2	1	2	2	2	1	2	2	2	1	1	2	2	2	2	2	1	2	2	1	2	1	1	mir-190
1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	mir-191
2	2	2	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	mir-193
2	4	3	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-194
3	3	4	3	3	4	3	1	2	2	3	2	1	3	3	3	3	1	3	2	2	2	2	2	3	1	2	1	3	1	2	2	3	2	3	4	3	3	3	3	2	3	2	2	2	2	3	3	3	3	3	mir-196
3	3	3	2	3	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	2	3	2	2	2	2	3	2	2	3	2	mir-199
0	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	mir-200
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-202
1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	mir-203
2	5	5	4	4	3	3	1	3	2	3	2	2	3	3	3	3	3	3	3	3	2	2	2	3	2	2	2	3	2	2	3	4	4	3	3	3	2	2	3	2	3	2	3	2	3	3	2	3	3	2	mir-204
1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	mir-205
0	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	mir-206
1	2	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	mir-207
2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	mir-208
